# CVS spectrum collected post-FFT during II&T by Caleb Baker.  This is
# Band 3 + LOWFS (510-785nm, or 647.5 center and 275 width in Varia command)
#
# flux units are arbitrary spectrometer units; we are relying on the self-
# normalization of eetc spectra for magnitude conversion.
#
# wavelength (A), flux
1.97718E+03,1.0000E-15
1.97922E+03,1.0000E-15
1.98125E+03,1.0000E-15
1.98329E+03,1.0000E-15
1.98532E+03,1.0000E-15
1.98735E+03,1.0000E-15
1.98939E+03,1.0000E-15
1.99142E+03,1.0000E-15
1.99346E+03,1.0000E-15
1.99549E+03,1.0000E-15
1.99753E+03,1.0000E-15
1.99956E+03,1.0000E-15
2.00160E+03,1.0000E-15
2.00364E+03,1.0000E-15
2.00567E+03,1.0000E-15
2.00771E+03,1.0000E-15
2.00974E+03,1.0000E-15
2.01178E+03,1.0000E-15
2.01382E+03,1.0000E-15
2.01585E+03,1.0000E-15
2.01789E+03,1.0000E-15
2.01993E+03,1.0000E-15
2.02196E+03,1.0000E-15
2.02400E+03,1.0000E-15
2.02604E+03,1.0000E-15
2.02808E+03,1.0000E-15
2.03011E+03,1.0000E-15
2.03215E+03,1.0000E-15
2.03419E+03,1.0000E-15
2.03623E+03,1.0000E-15
2.03827E+03,1.0000E-15
2.04031E+03,1.0000E-15
2.04234E+03,1.0000E-15
2.04438E+03,1.0000E-15
2.04642E+03,1.0000E-15
2.04846E+03,1.0000E-15
2.05050E+03,1.0000E-15
2.05254E+03,1.0000E-15
2.05458E+03,1.0000E-15
2.05662E+03,1.0000E-15
2.05866E+03,1.0000E-15
2.06070E+03,1.0000E-15
2.06274E+03,1.0000E-15
2.06478E+03,1.0000E-15
2.06682E+03,1.0000E-15
2.06886E+03,1.0000E-15
2.07090E+03,1.0000E-15
2.07294E+03,1.0000E-15
2.07499E+03,1.0000E-15
2.07703E+03,1.0000E-15
2.07907E+03,1.0000E-15
2.08111E+03,1.0000E-15
2.08315E+03,1.0000E-15
2.08519E+03,1.0000E-15
2.08724E+03,1.0000E-15
2.08928E+03,1.0000E-15
2.09132E+03,1.0000E-15
2.09336E+03,1.0000E-15
2.09541E+03,1.0000E-15
2.09745E+03,1.0000E-15
2.09949E+03,1.0000E-15
2.10154E+03,1.0000E-15
2.10358E+03,1.0000E-15
2.10562E+03,1.0000E-15
2.10767E+03,1.0000E-15
2.10971E+03,1.0000E-15
2.11175E+03,1.0000E-15
2.11380E+03,1.0000E-15
2.11584E+03,1.0000E-15
2.11789E+03,1.0000E-15
2.11993E+03,1.0000E-15
2.12198E+03,1.0000E-15
2.12402E+03,1.0000E-15
2.12607E+03,1.0000E-15
2.12811E+03,1.0000E-15
2.13016E+03,1.0000E-15
2.13220E+03,1.0000E-15
2.13425E+03,1.0000E-15
2.13630E+03,1.0000E-15
2.13834E+03,1.0000E-15
2.14039E+03,1.0000E-15
2.14243E+03,1.0000E-15
2.14448E+03,1.0000E-15
2.14653E+03,1.0000E-15
2.14857E+03,1.0000E-15
2.15062E+03,1.0000E-15
2.15267E+03,1.0000E-15
2.15472E+03,1.0000E-15
2.15676E+03,1.0000E-15
2.15881E+03,1.0000E-15
2.16086E+03,1.0000E-15
2.16291E+03,1.0000E-15
2.16496E+03,1.0000E-15
2.16700E+03,1.0000E-15
2.16905E+03,1.0000E-15
2.17110E+03,1.0000E-15
2.17315E+03,1.0000E-15
2.17520E+03,1.0000E-15
2.17725E+03,1.0000E-15
2.17930E+03,1.0000E-15
2.18135E+03,1.0000E-15
2.18340E+03,1.0000E-15
2.18545E+03,1.0000E-15
2.18750E+03,1.0000E-15
2.18955E+03,1.0000E-15
2.19160E+03,1.0000E-15
2.19365E+03,1.0000E-15
2.19570E+03,1.0000E-15
2.19775E+03,1.0000E-15
2.19980E+03,1.0000E-15
2.20185E+03,1.0000E-15
2.20390E+03,1.0000E-15
2.20595E+03,1.0000E-15
2.20800E+03,1.0000E-15
2.21005E+03,1.0000E-15
2.21211E+03,1.0000E-15
2.21416E+03,1.0000E-15
2.21621E+03,1.0000E-15
2.21826E+03,1.0000E-15
2.22031E+03,1.0000E-15
2.22237E+03,1.0000E-15
2.22442E+03,1.0000E-15
2.22647E+03,1.0000E-15
2.22852E+03,1.0000E-15
2.23058E+03,1.0000E-15
2.23263E+03,1.0000E-15
2.23468E+03,1.0000E-15
2.23674E+03,1.0000E-15
2.23879E+03,1.0000E-15
2.24085E+03,1.0000E-15
2.24290E+03,1.0000E-15
2.24495E+03,1.0000E-15
2.24701E+03,1.0000E-15
2.24906E+03,1.0000E-15
2.25112E+03,1.0000E-15
2.25317E+03,1.0000E-15
2.25523E+03,1.0000E-15
2.25728E+03,1.0000E-15
2.25934E+03,1.0000E-15
2.26139E+03,1.0000E-15
2.26345E+03,1.0000E-15
2.26550E+03,1.0000E-15
2.26756E+03,1.0000E-15
2.26962E+03,1.0000E-15
2.27167E+03,1.0000E-15
2.27373E+03,1.0000E-15
2.27579E+03,1.0000E-15
2.27784E+03,1.0000E-15
2.27990E+03,1.0000E-15
2.28196E+03,1.0000E-15
2.28401E+03,1.0000E-15
2.28607E+03,1.0000E-15
2.28813E+03,1.0000E-15
2.29019E+03,1.0000E-15
2.29224E+03,1.0000E-15
2.29430E+03,1.0000E-15
2.29636E+03,1.0000E-15
2.29842E+03,1.0000E-15
2.30048E+03,1.0000E-15
2.30253E+03,1.0000E-15
2.30459E+03,1.0000E-15
2.30665E+03,1.0000E-15
2.30871E+03,1.0000E-15
2.31077E+03,1.0000E-15
2.31283E+03,1.0000E-15
2.31489E+03,1.0000E-15
2.31695E+03,1.0000E-15
2.31901E+03,1.0000E-15
2.32107E+03,1.0000E-15
2.32313E+03,1.0000E-15
2.32519E+03,1.0000E-15
2.32725E+03,1.0000E-15
2.32931E+03,1.0000E-15
2.33137E+03,1.0000E-15
2.33343E+03,1.0000E-15
2.33549E+03,1.0000E-15
2.33755E+03,1.0000E-15
2.33961E+03,1.0000E-15
2.34168E+03,1.0000E-15
2.34374E+03,1.0000E-15
2.34580E+03,1.0000E-15
2.34786E+03,1.0000E-15
2.34992E+03,1.0000E-15
2.35198E+03,1.0000E-15
2.35405E+03,1.0000E-15
2.35611E+03,1.0000E-15
2.35817E+03,1.0000E-15
2.36024E+03,1.0000E-15
2.36230E+03,1.0000E-15
2.36436E+03,1.0000E-15
2.36642E+03,1.0000E-15
2.36849E+03,1.0000E-15
2.37055E+03,1.0000E-15
2.37262E+03,1.0000E-15
2.37468E+03,1.0000E-15
2.37674E+03,1.0000E-15
2.37881E+03,1.0000E-15
2.38087E+03,1.0000E-15
2.38294E+03,1.0000E-15
2.38500E+03,1.0000E-15
2.38707E+03,1.0000E-15
2.38913E+03,1.0000E-15
2.39120E+03,1.0000E-15
2.39326E+03,1.0000E-15
2.39533E+03,1.0000E-15
2.39739E+03,1.0000E-15
2.39946E+03,1.0000E-15
2.40152E+03,1.0000E-15
2.40359E+03,1.0000E-15
2.40566E+03,1.0000E-15
2.40772E+03,1.0000E-15
2.40979E+03,1.0000E-15
2.41186E+03,1.0000E-15
2.41392E+03,1.0000E-15
2.41599E+03,1.0000E-15
2.41806E+03,1.0000E-15
2.42012E+03,1.0000E-15
2.42219E+03,1.0000E-15
2.42426E+03,1.0000E-15
2.42633E+03,1.0000E-15
2.42839E+03,1.0000E-15
2.43046E+03,1.0000E-15
2.43253E+03,1.0000E-15
2.43460E+03,1.0000E-15
2.43667E+03,1.0000E-15
2.43874E+03,1.0000E-15
2.44081E+03,1.0000E-15
2.44287E+03,1.0000E-15
2.44494E+03,1.0000E-15
2.44701E+03,1.0000E-15
2.44908E+03,1.0000E-15
2.45115E+03,1.0000E-15
2.45322E+03,1.0000E-15
2.45529E+03,1.0000E-15
